MAJOR CLADE,No.REF,ORDER,FAMILY,NODE,SRB_topology,FAMILY,TOPO,mean,min,max,Reference,
MAGNOLIIDS,103,MAGNOLIALES,2,[Degeneriaceae + Himantandraceae],806,,,68,56,80,Wikstr??m et al. 2001,
MAGNOLIIDS,104,MAGNOLIALES,2,[Degeneriaceae + Himantandraceae],806,,,97.05,17.1,146.2,Massoni et al. 2015a,
MAGNOLIIDS,105,MAGNOLIALES,2,[Eupomatiaceae + Annonaceae],802,,,52.5,35,69,Bell et al. 2010,
MAGNOLIIDS,106,MAGNOLIALES,2,[Eupomatiaceae + Annonaceae],802,,,64.75,,,Naumann et al. 2013,
MAGNOLIIDS,107,MAGNOLIALES,2,[Eupomatiaceae + Annonaceae],802,,,86.5,76,97,Wikstr??m et al. 2001,
MAGNOLIIDS,108,MAGNOLIALES,2,[Eupomatiaceae + Annonaceae],802,,,106.3,102,110.4,Couvreur et al. 2011a,
MAGNOLIIDS,109,MAGNOLIALES,2,[Eupomatiaceae + Annonaceae],802,,,101.7,99.4,110.4,Surveswaran et al. 2010,
MAGNOLIIDS,110,MAGNOLIALES,2,[Eupomatiaceae + Annonaceae],802,,,98,94.9,101.5,Su & Saunders 2009,
MAGNOLIIDS,111,MAGNOLIALES,2,[Eupomatiaceae + Annonaceae],802,,,,62.6,84.7,Erkens et al. 2009,
MAGNOLIIDS,112,MAGNOLIALES,2,[Eupomatiaceae + Annonaceae],802,,,,100,109,Pirie & Doyle 2012,
MAGNOLIIDS,113,MAGNOLIALES,2,[Eupomatiaceae + Annonaceae],802,,,94.2,,,Magall??n et al. 2015,
MAGNOLIIDS,114,MAGNOLIALES,2,[Eupomatiaceae + Annonaceae],802,,,120.5,86,148.4,Massoni et al. 2015a,
MAGNOLIIDS,115,MAGNOLIALES,2,[Eupomatiaceae + Annonaceae],802,,,81.2,,,Tank et al. 2015,
MAGNOLIIDS,116,MAGNOLIALES,2,Annonaceae,803,1,,89.5,89,90.4,Su & Saunders 2009,
MAGNOLIIDS,117,MAGNOLIALES,2,Annonaceae,803,1,,,57,82,Doyle et al. 2004,
MAGNOLIIDS,118,MAGNOLIALES,2,Annonaceae,803,1,,84,,,Scharaschkin & Doyle 2005,
MAGNOLIIDS,119,MAGNOLIALES,2,Annonaceae,803,1,,,89,98,Pirie & Doyle 2012,
MAGNOLIIDS,120,MAGNOLIALES,2,Annonaceae,803,1,,99.7,72.4,126.7,Massoni et al. 2015a,
MAGNOLIIDS,121,LAURALES,2,Laurales,787,1,,111,101,121,Wikstr??m et al. 2001,
MAGNOLIIDS,122,LAURALES,2,Laurales,787,1,,108.8,,,Tank et al. 2015,
MAGNOLIIDS,123,LAURALES,2,Laurales,787,1,,130.2,,,Renner 2005,
MAGNOLIIDS,124,LAURALES,2,Laurales,787,1,,,119.3,171.4,Magall??n & Castillo 2009,
